Compound,0.02 V,0.1 V,0.5 V,1 V,5 V
10⁹ (CFU/ml),-1.41457e-05,-1.98364e-06,4.26329e-05,0.000146114,0.00863
10⁹ (CFU/ml),-1.41553e-05,-2.06448e-06,4.19553e-05,0.000143311,0.0085
10⁹ (CFU/ml),-1.41694e-05,-2.17055e-06,4.10107e-05,0.000139907,0.00834
10⁹ (CFU/ml),-1.41927e-05,-2.28293e-06,3.98282e-05,0.000135875,0.0082
10⁹ (CFU/ml),-1.42143e-05,-2.41523e-06,3.84461e-05,0.000131328,0.00811
10⁹ (CFU/ml),-1.42409e-05,-2.55247e-06,3.69168e-05,0.000126403,0.00802
10⁹ (CFU/ml),-1.42718e-05,-2.67093e-06,3.52932e-05,0.000121297,0.00789
10⁹ (CFU/ml),-1.43008e-05,-2.78986e-06,3.3643e-05,0.000116257,0.00773
10⁹ (CFU/ml),-1.43278e-05,-2.89319e-06,3.20351e-05,0.000111631,0.00757
10⁹ (CFU/ml),-1.4351e-05,-2.9798e-06,3.0568e-05,0.000107737,0.00742
10⁹ (CFU/ml),-1.43672e-05,-3.04148e-06,2.93251e-05,0.000103806,0.00728
10⁹ (CFU/ml),-1.438e-05,-3.13045e-06,2.80699e-05,9.98695e-05,0.00714
10⁹ (CFU/ml),-1.43954e-05,-3.22173e-06,2.68448e-05,9.59698e-05,0.007
10⁹ (CFU/ml),-1.44087e-05,-3.30823e-06,2.56417e-05,9.21439e-05,0.00685
10⁹ (CFU/ml),-1.44272e-05,-3.39769e-06,2.44642e-05,8.84641e-05,0.00671
10⁹ (CFU/ml),-1.44494e-05,-3.48749e-06,2.33104e-05,8.49075e-05,0.00657
10⁹ (CFU/ml),-1.44718e-05,-3.56202e-06,2.21784e-05,8.14813e-05,0.00643
10⁹ (CFU/ml),-1.44897e-05,-3.64627e-06,2.10573e-05,7.81278e-05,0.00631
10⁹ (CFU/ml),-1.45055e-05,-3.73181e-06,1.98918e-05,7.49133e-05,0.00616
10⁹ (CFU/ml),-1.45222e-05,-3.82143e-06,1.87748e-05,7.18325e-05,0.00602
10⁹ (CFU/ml),-1.45317e-05,-3.9081e-06,1.75263e-05,6.88583e-05,0.00587
10⁹ (CFU/ml),-1.45453e-05,-3.99933e-06,1.64572e-05,6.60347e-05,0.00572
10⁹ (CFU/ml),-1.45607e-05,-4.09412e-06,1.53999e-05,6.3329e-05,0.00557
10⁹ (CFU/ml),-1.4576e-05,-4.19043e-06,1.44604e-05,6.06918e-05,0.00542
10⁹ (CFU/ml),-1.45904e-05,-4.28664e-06,1.37266e-05,5.80372e-05,0.00528
10⁹ (CFU/ml),-1.46063e-05,-4.38359e-06,1.3137e-05,5.54602e-05,0.00514
10⁹ (CFU/ml),-1.4624e-05,-4.46742e-06,1.26126e-05,5.29955e-05,0.005
10⁹ (CFU/ml),-1.46427e-05,-4.56345e-06,1.21708e-05,5.06326e-05,0.00485
10⁹ (CFU/ml),-1.46628e-05,-4.65785e-06,1.17684e-05,4.83835e-05,0.0047
10⁹ (CFU/ml),-1.46819e-05,-4.75712e-06,1.13946e-05,4.62353e-05,0.00455
10⁹ (CFU/ml),-1.4698e-05,-4.85806e-06,1.10405e-05,4.41961e-05,0.00441
10⁹ (CFU/ml),-1.47196e-05,-4.96017e-06,1.06898e-05,4.22581e-05,0.00428
10⁹ (CFU/ml),-1.47483e-05,-5.06002e-06,1.03227e-05,4.04175e-05,0.00414
10⁹ (CFU/ml),-1.47764e-05,-5.16464e-06,9.93414e-06,3.86569e-05,0.00402
10⁹ (CFU/ml),-1.48111e-05,-5.26967e-06,9.51456e-06,3.69606e-05,0.00391
10⁹ (CFU/ml),-1.48499e-05,-5.37571e-06,9.04287e-06,3.5328e-05,0.0038
10⁹ (CFU/ml),-1.48836e-05,-5.47704e-06,8.49953e-06,3.37569e-05,0.00368
10⁹ (CFU/ml),-1.49123e-05,-5.58225e-06,7.86683e-06,3.22284e-05,0.00357
10⁹ (CFU/ml),-1.49435e-05,-5.68438e-06,7.13814e-06,3.07508e-05,0.00342
10⁹ (CFU/ml),-1.4974e-05,-5.79103e-06,6.39892e-06,2.93121e-05,0.00329
10⁹ (CFU/ml),-1.50029e-05,-5.89942e-06,5.50652e-06,2.79033e-05,0.00317
10⁹ (CFU/ml),-1.50296e-05,-6.00561e-06,4.85546e-06,2.65289e-05,0.00306
10⁹ (CFU/ml),-1.50577e-05,-6.11311e-06,4.15814e-06,2.51784e-05,0.00295
10⁹ (CFU/ml),-1.50818e-05,-6.2246e-06,3.64829e-06,2.38424e-05,0.00285
10⁹ (CFU/ml),-1.51102e-05,-6.33519e-06,3.19967e-06,2.25029e-05,0.00275
10⁹ (CFU/ml),-1.51371e-05,-6.44752e-06,2.77088e-06,2.09539e-05,0.00265
10⁹ (CFU/ml),-1.51657e-05,-6.5499e-06,2.19919e-06,1.96606e-05,0.00255
10⁹ (CFU/ml),-1.51929e-05,-6.6628e-06,2.04286e-06,1.8514e-05,0.00243
10⁹ (CFU/ml),-1.52189e-05,-6.77214e-06,1.89519e-06,1.75704e-05,0.00232
10⁹ (CFU/ml),-1.5242e-05,-6.88351e-06,1.9541e-06,1.61914e-05,0.00222
10⁹ (CFU/ml),-1.52627e-05,-6.99532e-06,1.99982e-06,1.51579e-05,0.00212
10⁹ (CFU/ml),-1.52875e-05,-7.10738e-06,2.0602e-06,1.36586e-05,0.00202
10⁹ (CFU/ml),-1.53138e-05,-7.22499e-06,2.09707e-06,1.25179e-05,0.00192
10⁹ (CFU/ml),-1.53399e-05,-7.34131e-06,2.12346e-06,1.14992e-05,0.00182
10⁹ (CFU/ml),-1.53709e-05,-7.46009e-06,2.12427e-06,1.01995e-05,0.00173
10⁹ (CFU/ml),-1.5404e-05,-7.57631e-06,2.11399e-06,9.24889e-06,0.00164
10⁹ (CFU/ml),-1.54345e-05,-7.69077e-06,2.18785e-06,8.09421e-06,0.00155
10⁹ (CFU/ml),-1.54652e-05,-7.80769e-06,2.1449e-06,7.33246e-06,0.00147
10⁹ (CFU/ml),-1.54979e-05,-7.918e-06,1.98058e-06,6.47017e-06,0.00138
10⁹ (CFU/ml),-1.55313e-05,-8.03091e-06,1.71373e-06,5.72528e-06,0.0013
10⁹ (CFU/ml),-1.55587e-05,-8.14286e-06,1.2972e-06,5.3026e-06,0.00123
10⁹ (CFU/ml),-1.55886e-05,-8.25124e-06,8.85708e-07,4.68265e-06,0.00115
10⁹ (CFU/ml),-1.56238e-05,-8.29536e-06,3.33256e-07,4.24138e-06,0.00107
10⁹ (CFU/ml),-1.5656e-05,-8.36446e-06,-2.79767e-07,3.9041e-06,0.001
10⁹ (CFU/ml),-1.56907e-05,-8.50067e-06,-9.91436e-07,3.80248e-06,0.000941638
